,nroV,idF,País,Día,Mes,Año,Medio,Título,Comentario
325,326,1814,Chile,9,Abril,2023,Biobio,"
Israel lanza ataques contra Siria en respuesta a cohetes disparados hacia su territorio
",Jajaja bombardeen Irán o Rusia ahora
344,345,3494,Panamá,2,Enero,2022,La Estrella,"Israel detecta el primer caso de ""flurona"", una infección de coronavirus y gripe a la vez",Estas desatada juanita cristo rey pariteño pajaro vergademonotiti viveka extra. Ya m@m@sela
112,113,113,Chile,6,Abril,2022,Biobio,"
    Nueva crisis política en Israel: coalición de gobierno pierde mayoría tras dimisión de una dipu",¡sraHELL cr¡minal un estado ilegal!
60,61,61,Uruguay,12,Mayo,2021,El País,Cúpula de Hierro en Tel Aviv: qué es y cómo funciona el sistema de defensa de Israel,"Muchos fuegos artificiales, pero la efectividad de estos sistemas es bastante baja. Visto de otro modo, la efectividad es enorme. Cada uno supone unos enormes ingresos para los fabricantes de armas, y engrasan la maquinaria corrupta que se beneficia de la situación. Y mandan algunos sobres al otro lado ya que dos no se pelean si uno no quiere."
55,56,56,Uruguay,15,Abril,2024,Montevideo,Israel confirmó que habrá una reacción “clara y decisiva” al ataque de Irán del sábado,"LOS   GENOCIDAS   CREAN  CONFLICTOS  PARA   CONTINUAR  LA  INDUSTRIA   ARMAMENTISTA   Y  ROBAR   TERRITORIOS  ,CLARITA   LA  CUENTA     !!!"
9,10,10,Argentina,8,Agosto,2023,La Nación,La advertencia de Israel para el Líbano ante una eventual escalada del conflicto: “Los mandaremos a ,Si uno critica la frase te acusan de discriminación y te mandan a hacer un curso al museo del holocausto
294,295,443,Chile,1,Febrero,2024,Biobio,"
Denuncian el hallazgo de 30 cuerpos maniatados y vendados en Gaza: Israel niega ser el responsable
",Sionistas genocidas y cobardes
227,228,240,Uruguay,14,Junio,2024,Montevideo,"Docente imputado por negar Holocausto integra Cabildo Abierto, pero partido se desmarca","El Holocausto del pueblo palestino sí se puede negar, porque no es el pueblo elegido por Dios. Váyanse a la reconcha de sus madres, sionistas satánicos usureros."
24,25,25,Uruguay,7,Octubre,2023,Subrayado,Estalla guerra entre Israel y Gaza con combates en tierra y bombardeos,"A LA ONU NUCA LE INTERESO   INTERVENIR...EN LA ZONA, PARA QUE LOS 2 PUEBLOS TUVIESEN UNA PATRIA. Y PUDIESEN VIVIR EN PAZ DEFINITIVAMENTE! SIEMPRE PASA QUE  UNO QUIERE TODO Y EL OTRO TAMBIEN! ESTA ES UNA GUERRA ""ETERNA"" POLITICO-RELIGIOSO!!!"
239,240,274,Chile,3,Diciembre,2021,Biobio,"
    Facebook habría permitido publicaciones y mensajes ’antivacunas’: algunos hablaban de ""Holocaus","No aborto, no eutanásia"
162,163,163,Colombia,3,Mayo,2024,Dos Orillas,Error muy grave lo de Israel,"Usted solo está pensando en plata. ""La Vida Humana"" prima sobre el mercantilismos. Usted de profesor y de humanista no tiene nada. El genocido del pueblo palestino, de niños descuartizados, mujeres y ancianos. Deje de defender crimanales y asesinos. ¿Cuánto le pagaron por este artículo? $$$$$$$"
73,74,74,Uruguay,10,Mayo,2024,Montevideo,"Docente de curso postergado en Udelar: “Quieren insultarme; no me insultan, soy sionista”","Un sionista, como la sra que escribe acá, tiene siempre derecho a decir que Israel puede invadir, matar, torturar, defecar sobre cadáveres, todo eso documentado por la ONU y los otros son siempre terroristas. Si mueren 20 veces mas palestinos, 35 mil tampoco significa que Israel esté mal. Todo el que diga algo en contra es Antisemita"
337,338,2748,Argentina,14,Julio,2021,Clarín,La emigración argentina a Israel creció 48% en lo que va de 2021,QUIEN PUDIERA
86,87,87,Argentina,21,Diciembre,2021,La Nación,Ómicron: Israel anunció que aplicará una cuarta dosis de la vacuna contra el coronavirus,"Esto no se termina más. Cada año van a aparecer más y más variantes y nos van a querer tener encerrados, “distanciados”, con pases nazitarios y bozal.
Las asustadas ovejas obedecerán, la desconfianza hacia el otro será cada vez mayor y, a los que amamos la libertad y la vida “normal”, nos acusarán de irresponsables y peligrosos para la sociedad.
Goebbels  debe estar riéndose desde su tumba."
167,168,168,Panamá,3,Marzo,2023,La Estrella,La UE ve “inaceptable” que un ministro israelí pidiera aniquilar una aldea palestina,"La matanza de los Palestinos es la obra de Netanyahu, el maldito criminal."
161,162,162,Argentina,18,Mayo,2021,La Nación,"Franja de Gaza. “Canciller, defienda la verdad”: las críticas a Felipe Solá por la posición oficial","Hezbollah es uno de los movimientos clave para entender el actual conflicto de Oriente Próximo. En mayo del año 2000 obligaba a las tropas israelíes a retirarse del sur del Líbano, y desde entonces se ha convertido en una ficha crucial para la guerra y la paz en la zona más conflictiva del mundo. Fiero y eficaz en la batalla, goza de un formidable apoyo popular en su país y en el resto del mundo árabe, fruto de un eficiente sistema de ayuda social que combina solidaridad y militancia e imbrica la defensa de las causas árabes y la afirmación de los valores islámicos. En los últimos años se ha transformado en un modelo de lucha para los grupos islamistas en la región, que han absorbido gran parte de su ideología. Singular y extraño en un entorno eminentemente suní, despierta recelos entre los gobiernos de la zona. Su influencia salta las fronteras del Líbano y su huella es visible tanto en Irak como en Palestina. Sus vínculos con Irán y su difícil relación con el régimen sirio l"
153,154,154,Argentina,27,Marzo,2023,La Nación,¿Qué esta pasando en Israel? Las claves de la reforma judicial que dejó a Netanyahu en la cornisa,Dejen de matar Palestinos!!!!
71,72,72,Argentina,18,Mayo,2021,La Nación,Fuerte respuesta de la Organización Sionista Argentina a Felipe Solá por los dichos sobre Israel,"Ataquen Iran entonces, que facil es ir contra un pueblo sin armas ni ejercito"
189,190,190,Uruguay,6,Agosto,2022,Montevideo,Al menos cinco niños palestinos y un adultos murieron por impacto de proyectil en Gaza,"El tema es que se acusan de ambos lados pero la usurpación de territorios empezó y es responsabilidad del gobierno de Israel .Los palestinos viven ahí antes de que la tierra prometida ,fuera prometida !!"
137,138,138,Chile,26,Octubre,2023,Emol,Consejo de Seguridad de la ONU rechaza dos nuevas resoluciones sobre conflicto israelí-palest," La onu debiera eliminar como estados a todos los estados fundamentados en religiones, sea cual sea. Fuera estado islamico, fuera estado judio. Sus habitantes son puros psicopatas religiosos tomandose tierra a la fuerza en nombre de sus religiones y son la principal causa de guerras en nuestra historia."
1,2,2,Uruguay,6,Agosto,2021,Montevideo,Opinión | Los frentes que amenazan a Israel son parte de un mismo eje manejado por Irán,"Esta señora esta como los argeninos, todo lo que nos pasa es culpa de otro, yo pregunto y con todo el respeto que me merece, la politica israeli en la zona no tendra nada que ver?????, no soy antiisreali, no soy anti nadie, SI antisemita porque creo que el semitismo es racismo!!!!!!!!!!!!!!!!!!!"
346,347,3575,Costa Rica,28,Marzo,2022,CR Hoy,Primer ministro israelí da positivo al COVID-19 poco después de reunirse con Blinken,"jaja y les montaron la 4ta dosis ya, la vacuna sirve, dicen..."
148,149,149,Uruguay,5,Junio,2023,Subrayado,Frente Amplio suspende por tres años al edil que se preguntó “qué tan equivocado estaba Hitler”,"Y BUENO SI PASO CERCA DE LA FRANJA DE GAZA O SI FUE A PALESTINA , SE PUEDE ENTENDER SU COMENTARIO ESPONTANEO..... Y EL FRENTE NO SE IBA TIRAR EN CONTRA A LOS DUEÑOS DE LAS FINANZAS ... ASI QUE EDIL PA SU CASA"
106,107,107,Chile,12,Mayo,2021,Emol,"Netanyahu advierte que Israel ""responderá con fuerza cada vez mayor"" a ataques desde Gaza"," Palabras inválidas,este hombre cayó en la corrupción."
272,273,367,Uruguay,2,Junio,2024,Montevideo,René escribió canción para Palestina y Calamaro le respondió: “Viva el estado de Israel”,"A recordar lo que dice este sionista de mierdha, hay que boicotear todo lo que represente al estado terrorista genocida de Israhell. No compren nunca más un disco de este basura ni paguen una entrada para ir a verlo, apoya el asesinato de civiles JHDP"
54,55,55,Argentina,5,Enero,2024,Clarín,Renunció el vicepresidente de la DAIA Sergio Pikholtz tras su polémica frase “no hay civiles inocent,solo un fanatico puede pensar asi
282,283,410,Costa Rica,14,Octubre,2023,CR Hoy,Israel da más tiempo a palestinos en Gaza para evacuar antes de su ofensiva,"Israel es mas terrorista que Hamas, porque Hamas no representa al pueblo de Gaza ni a la autoridad Palestina pero Israel si es un estado y es terrorismo de estado. El gobierno de CR debe exigirle a Israel que respete los tratados internacionales en esta materia y que no cometa el genocidio que cometió alemania contra los judios. Hay que condenar la actuación del estado de Israel y mi comentario no tiene nada que ver con los judios religiosos o el seminitismo, tiene unicamente que ver con el genocidio a vista  paciencia de todo el mundo que esta cometiendo el gobierno israesli al cual debe llevarsele a los tribunales por genocidas."
234,235,257,Chile,13,Mayo,2021,Biobio,"
    Disparan misiles desde territorio libanés contra Israel en plena escalada del conflicto con Gaz",El criminal matonaje de los judios es inaceptable y la comunidad del mundo debe exigir que este genocidio en contra de los Palestinos llegue a su fin.
226,227,239,Chile,11,Julio,2022,Biobio,"
Comunidad Judía en Chile repudia caricatura antisemita en publicidad que circula en periódico
","Y dale, los judios de cristal."
252,253,311,Uruguay,17,Agosto,2023,Montevideo,Palestina advierte a Uruguay tras dichos del canciller israelí sobre oficina en Jerusalén,"Bustillo ya recibió ordenes del imperio anglosajón sionista masonico, como diría Gustavo Salle"
