,nroV,idF,País,Día,Mes,Año,Medio,Título,Comentario
283,284,411,Chile,31,Enero,2023,Emol,"Blinken se reúne con Abbas y advierte que ""el horizonte de los palestinos se está enco"," Un secretario de estado norteamericano judio,jaja es un chiste"
307,308,477,Argentina,14,Marzo,2021,La Nación,"Victoria Ocampo, la cronista de Núremberg","Inventaron una historia, y juzgaron al enemigo con falsedades y sin las menores pruebas !!!"
287,288,431,Uruguay,7,Marzo,2024,Montevideo,Maniquíes representan ataques de Hamás a mujeres judías en intervención en Plaza Trouville,Típico: los asesinos se victimizan
33,34,34,Chile,12,Noviembre,2022,Biobio,"
Israel rechaza resolución de la ONU sobre ocupación de territorios palestinos
",Nunca será reconocida la usurpación judía de Palestina... aún cuando asesinen a todos los niños palestinos.
331,332,2259,Chile,19,Mayo,2022,Biobio,"
    Coalición del gobierno de Israel queda en minoría parlamentaria tras renuncia de una diputada
",Lo mismo está ocurriendo en todos los países con sus políticos!!!
177,178,178,Uruguay,19,Mayo,2021,El País,"Petinatti escrachó a un edil que opinó que Hitler no estaba ""tan equivocado""","Ya lo sabemos si. Claro que para Israel, decir que los judíos se han aprovechado del holocausto, o que oprimen a los palestinos y han transformado Gaza en el mayor campo de concentración de la Historia, es antisemitismo. Por las dudas, al señor policía y fiscal le digo que mis comentarios en este panfleto virtual no son antisemitas sino anti-Maccabi, antisionistas o antijudios. Si quieres saber quién manda sobre ti, entérate de a quién no puedes criticar.[Imagen]"
13,14,14,Uruguay,18,Julio,2024,Montevideo,Argentina declara “Día de Duelo Nacional” al 18 de julio en memoria de atentado a la AMIA,Bajen la bandera argentina y suban la hebrea y ya.
235,236,261,Uruguay,22,Enero,2022,Montevideo,"Hace 80 años, los nazis planificaron la ‘solución final’ en solo 90 minutos","SIONISMO Y JUDAÍSMO NO SON EQUIVALENTES...NO CAIGAN EN LA TRAMPA DEL SIONISMO, DOCTRINA COLONIALISTA Y RACISTA EUROPEA CREADA PARA LOS JUDÍOS EUROPEOS RACISTAS, O DESESPERADOS POR LOS POGROMS, POR EL HÚNGARO DE TRADICIÓN JUDÍA TEODOR HERZL...INVITO A LEER SU LIBRO...EL ESTADO JUDÍO...."
29,30,30,Chile,21,Julio,2024,Biobio,"
Tras retiro de Biden: presidente de Israel le agradece por ser un ""verdadero aliado"" del pueblo jud","Salvo alguna que otra crítica los EEUU han sido aliados y cómplices de los crímenes de los sionistas, entre otras cosas les financia su maquinaria mil9tar terrorista. Pero no todo ha sido dicvha y felicidad entre ambos. Los EEUU tienen una papa caliente en las manos en relación Israel, tienen la contradicción entre respaldar a su tradicional aliado como es Israel, o tomar distancia de los genocidios del sionismo y evitar seguir desprestigiándose ante la opinión pública mundial como cómplice del genocidio sionista. Biden reconoció que desde que estalló la guerra hace cuatro meses el pueblo palestino “ha sufrido un dolor y pérdidas inimaginables”. “Demasiados de los más de 27.000 palestinos muertos en este conflicto eran civiles y niños inocentes. Incluidos miles de niños”, afirmó Biden, que añadió: “Es desgarrador”. **** https://www.biobiochile.cl/noticias/internacional/eeuu/2024/02/12/biden-afirma-que-trabaja-en-un-acuerdo-de-rehenes-que-traera-bien-comun-a-gaza.shtml **** Hace unos me"
209,210,210,Uruguay,6,Agosto,2022,Montevideo,Al menos cinco niños palestinos y un adultos murieron por impacto de proyectil en Gaza,"SE TERMINO LA FARSA DEL SIONISTA SELENSKYAmnistía Internacional Condena que las tácticas de lucha de Ucrania que ponen en peligro a los civilesLa ONG dice que Ucrania estableció bases militares tanques y explosivosen áreas residenciales, incluidas escuelas y hospitales, cuando había alternativas viables.por Dave De Camp Publicado en4 de agosto de 2022CategoríasNoticiasEtiquetasUcraniaAmnistía Internacional dijo el jueves que Ucrania está poniendo en peligro a los civiles en sus tácticas de guerra al establecer bases y lanzar ataques desde áreas residenciales, incluidas escuelas y hospitales.“Hemos documentado un patrón en el que las fuerzas ucranianas ponen en peligro a los civiles y violan las leyes de la guerra cuando operan en áreas pobladas”, dijo Agnès Callamard, secretaria general de Amnistía. “Estar en una posición defensiva no exime al ejército ucraniano de respetar el derecho internacional humanitario”.Amnistía dijo que la ma"
15,16,16,Argentina,18,Mayo,2021,La Nación,Tensión en Medio Oriente: Hamas ataca con más de 130 misiles a Tel Aviv,"Admirable el valiente pueblo palestino luchando hace mas de 70 años por sus derechos. Como cuando los ingleses lucharon solos contra los nazis, o los vietnamitas contra los americanos y despues contra los chinos, o los chechenos contra los rusos.Recordemos que todo esto comenzó cuando el gobierno de Israel comenzó a expulsar a palestinos de sus casas, las que habitaban antes de que existiera Israel y empezó a reemplazarlos por ciudadanos israelies. Esto no es otra cosa que una LIMPIEZA ETNICA, de aca a China, y obviamente un crimen de lesa humanidad."
38,39,39,Colombia,10,Junio,2023,Dos Orillas,Laura Sarabia: digna hija de Benedetti. Revista Semana hace política con los muertos,"Ahora el que está en peligro de que lo ""suiciden"" es Vende-deti...."
176,177,177,Chile,12,Mayo,2021,Biobio,"
    Gal Gadot: ""Israel merece vivir como una nación libre y segura, nuestros vecinos merecen lo mis",",la politica y la religion son lo mismo..una mafia...un asco las religiones..el opio del mundo..la excusa para tantas masacres a traves de la historia del hombre..tanta sangre derradama para alimentar un dios que no es infalible y queno existe...eslaidea creada por u os pocos y empujada por millones de idiotas."
265,266,341,Uruguay,27,Abril,2023,Montevideo,Muere a los 102 años exguardia nazi condenado por complicidad en miles de crímenes,"Q.E.P.D, Dios lo tenga en la gloria"
345,346,3529,Chile,7,Julio,2024,Biobio,"
La propaganda más exitosa de un dictador: Berlín 1936, la edición que los JJOO quieren que olvides
","Si hitler cree en la supremacía de la raza aria entonces es imposible que lo haya saludado. Lo saludó, por tanto no creía en la supremacía de la raza aria

TODO ERA MENTIRA."
184,185,185,Uruguay,12,Diciembre,2023,Montevideo,Biden dice que Israel pierde apoyo en ofensiva de Gaza y aconseja cambios en el gobierno,"Es vergonzoso y criminal lo que están haciendo en Gaza. Después no pretenden más que hostilidad hacia su gobierno. Quieren invadir, no resolver el conflicto."
329,330,2185,Chile,19,Julio,2024,Biobio,"
La ocupación de Israel en territorios palestinos desde 1967 es ""ilegal"" y debe devolverlos, según C","Israel: Ya y quien va a obligarme?, vengan...jajajajaja"
132,133,133,Argentina,6,Mayo,2024,La Nación,El presidente Javier Milei encabezará el miércoles el acto por el Día del Holocausto,"Yo lo vote
Q se quede a arreglar aca o q se vaya a israel!!!!"
261,262,333,Uruguay,10,Mayo,2023,Montevideo,Lluvia de críticas por la venta en Suiza de joyas de una millonaria vinculada al nazismo,"@1958 sabias que por esa epoca la Alemania Nazi, reubico miles de familias judias en Tel aviv antiguo puerto palestino y tus hermanos de religion hasta tenian monedas con la svatica de una cara y la menorah del otro lado. Claro que lo sabes por mas que seas judio secular lo sabes bien. La historia tendria que estar bajo revision por mas que sea una etapa tan dolorosa como la segunda guerra mundial. Por verdad y justicia como tanto te gusta decir."
353,354,3875,Colombia,1,Julio,2024,Dos Orillas,"Petro, el ‘Führer’ de Ciénaga de Oro","El autor de esta nota de opinion no sabe lo que dice, ni siquiera conoce el significado o alcance de las palabras que trata de agrupar...Despues de investigar bien quien es el autor y otras de ""sus opiniones"" ya todo tiene sentido, solo esta margado porque nadie le presta atencion y busca gente que se odia asi misma para proyectar su auto odio en otros."
7,8,8,Argentina,20,Mayo,2021,La Nación,La embajadora de Israel en Argentina dice que no ve posible un acuerdo con Hamas,"Roma, 23 de marzo de 1944. Treinta soldados alemanes son asesinados 
tras un atentado de los partisanos. En represalia, las SS ejecutan a 300
 civiles en las fosas ardeatinas,Hoy, Hamas lanza misiles sobre Israel, y en represalia, Israel mata cientos de civiles palestinos en Gaza.Conclusion,
 la represalia SS es considerada un crimen de guerra; mientras que la 
represalia de Israel es considerada totalmente legitima.A los hechos historicos, pero tambien los presentes, los esctiben los vencedores."
12,13,13,Chile,23,Noviembre,2022,Biobio,"
Milicia palestina ’secuestra’ desde un hospital el cadáver de un civil israelí en Cisjordania
","Bien hecho. 
Aqui le CONDONARON la multa al israelita que INCENDIO la PATAGONIA. 
Primero fue la burla de multa equivalente a 10mil dolares y trabajos CIVICOS en ISRAEL, no en Chile.
Sionistas GENOCIDAS, han asesinado a MILES niños palestinos.
Falsos semitas (askenazíes - indoeuropeos) comprenden el 80% de la población judía y son quienes están exterminando a un pueblo semita. David Ben Gurion, ario cofundador del colonial Israel, expresaba:"
98,99,99,Chile,15,Julio,2022,Biobio,"
Biden visita a Abás y defiende que ""el pueblo palestino merece un Estado propio independiente""
",Gringo mentiroso. Un sionista más....
97,98,98,Chile,25,Julio,2024,Emol,Israel recupera los cuerpos de cinco rehenes de Hamás en Gaza: Familias presionan para acorda," Hasta los familiares de los muertos israelitas, le piden a este asesino que pare la matanza. Y adesmàs lo culpan por llevar a Israel al lìmite"
32,33,33,Chile,25,Enero,2024,Emol,"Medio norteamericano revela que Israel busca establecer una ""tierra de nadie"" en Gaza pese a oposici", Isreal estado ladrón y terrorista.....nunca tendrá paz pq eligio el camino del abuso y el robo
18,19,19,Chile,22,Noviembre,2023,Emol,"Actriz Melissa Barrera es expulsada del reparto de ""Scream VII"" por realizar comentarios antisemitas"," Que vergüenza este periodismo de censura. Sus comentarios no fueron ANTISEMITAS, criticó cómo Israel ha enfrentado esta ""guerra"" eso no es ser ANTISEMITA. Han matado a más de 10.000 palestinos, más de 6.000 de ellos son niños, son hechos, no opiniones. Que peligroso lo que estamos presenciando con respecto a los medios de comunicación y la censura y castigo a todo aquel que levante la voz a un cese al fuego. ¿Se puede criticar a todos pero menos a Israel y su bombardeo INDISCRIMINADO a Gaza? Que mal estamos."
149,150,150,Argentina,23,Septiembre,2022,La Nación,"“No conocés Helueni, no conocés el Once”. El local de comida judía donde compraba Tato Bores y Molda",Habla de comida judía pero vienen de siria
117,118,118,Uruguay,21,Noviembre,2023,Montevideo,El estrés de la guerra termina con un canal informal de retorno en Jerusalén y Gaza,Sionistas = asesinos genocidas
247,248,299,Chile,4,Junio,2021,Biobio,"
    Centro Simon Wiesenthal acusa a Congreso chileno de avanzar hacia leyes racistas y antisemitas
","Siempre victomizandose ellos, los Juden, la flor de la basura en la tierra, creados por el mismísimo diablo."
320,321,1447,Panamá,6,Diciembre,2021,La Estrella,La deriva mental de Gaza conduce a cada vez más jóvenes al suicidio,"En qué mundo de mer da nos toca vivir.. mientras mucha gente por estas fechas solo piensa en la luces de navidad otros, muchos, demasiados...solo piensan en acabar con sus miserables vidas. Y pensar que en este planeta hay suficiente espacio y suficiente comida para todos pero el egoísmo y las ambiciones insaciables de poseer mas nos están llevando a un lento exterminio como humanidad."
326,327,2100,Chile,27,Marzo,2023,Emol,El problema político que envuelve al Mundial Sub 20 en Indonesia y la chance de Argentina de , Penal para Argentina!
52,53,53,Argentina,15,Septiembre,2023,La Nación,30 años de los Acuerdos de Oslo: ¿por qué los palestinos creen hoy que firmar esa paz con Israel fue,Que vergüenza esta situación injusta
47,48,48,Colombia,25,Febrero,2024,El Tiempo,Carros de combate israelÃ­es cerca de la Franja de Gaza.,3200 niños palestinos asesinados y su título paskin del tiempo favoreciendo genocidas.
285,286,422,Argentina,11,Mayo,2022,La Nación,Denuncia por discriminación: Lufthansa impidió que más de 100 judíos ortodoxos aborden un vuelo y lu,Judíos complejos.
244,245,294,Chile,13,Enero,2022,Biobio,"
    Cementerio General de Santiago: Nuevo robo, ahora es al mausoleo Rosemblitt Waissbluth
","Dale con ""antisemita"".   Los pueblos semitas son los árabes, los antiguos judíos del siglo I eran pueblos semitas.  Los judíos del siglo XX, no son de origen árabe, no son semitas."
178,179,179,Argentina,7,Noviembre,2022,Clarín,"Ataques, plantas destruidas y cosechas robadas: la violencia de los colonos israelíes durante la rec","Unos abusos  y cobardes los israelíes que hacen eso, parecen nazis."
173,174,174,Argentina,3,Junio,2022,Clarín,El cambio de estrategia de Hamas y un poderío militar letal en Oriente Medio,"ESTE ES EL PRÓXIMO CONFLICTO BÉLICO 
ESTAN EN MARCHA LOS PREPARATIVOS 
EL PLANETA ESTALLA"
276,277,381,Chile,27,Marzo,2023,Biobio,"
Netanyahu paraliza su polémica reforma judicial tras masivas protestas en Israel
",Vamos.. ahora les toca a los franceses con el traidor de Macron.
354,355,3881,Chile,13,Abril,2024,Biobio,"
Israel confirma ataque de Irán con decenas de drones contra su territorio
",Ahora te quero ver  Israel.
87,88,88,Argentina,3,Enero,2023,La Nación,Un ministro ultranacionalista de Israel fue a la Explanada de las Mezquitas y generó rechazo y amena,"cuando a Israel le empiecen a llover drones iranies, se van a acordar de la ayuda que le  negaron a Ucrania"
186,187,187,Colombia,30,Abril,2021,El Tiempo,EFE / EPA / DAVID COHEN ISRAEL,El karma por haberse robado todas las vacunas del mundo para ellos.
268,269,356,Uruguay,7,Junio,2024,Montevideo,ONU incluyó a Israel y Hamás en “lista de la vergüenza” de violaciones a derechos de niños,"Deberían incluir también a Petinati, por confundir a Jesús y la virgen María con judíos sionistas armados hasta los dientes. Que la ONU lo incluya en la lista de la vergüenza"
288,289,433,Panamá,6,Septiembre,2023,La Estrella,Comunidades judías piden a la RAE suprimir la acepción de judío como ‘persona avariciosa’,"En Panama se tiene un mal concepto de los judios, y es por culpa de los mismos judios locales. No todos los judios tienen empresas,  no todos prestan dinero y no todos son avaros, hay judios que trabajan para otros judios, etc."
46,47,47,Chile,19,Julio,2024,Biobio,"
Netanyahu rechaza opinión de CIJ sobre Israel: ""El pueblo judío no es conquistador"" en Cisjordania
","Nooo, no son conquistadores, son solo ""humildes inmigrantes"" jajaja. Además ni siquiera son semitas, la gran mayoría de ellos son de origen eslavo y germano. Por lo que deberían volver a donde pertenecen realmente, a Europa y quizás también a Norteamérica."
188,189,189,Panamá,5,Marzo,2022,La Estrella,Benet se reúne con Putin en Moscú para mediar en la guerra de Ucrania,"No mas OTAN, no mas apoyo de la OTAN al genocidio Israeli sobre el pueblo palestino...."
259,260,328,Uruguay,24,Febrero,2021,El Observador,"Sanguinetti pidió a Fiscalía que ""actuara de oficio"" ante tuit de Gustavo Salle sobre Henry Cohen","Uy, han ofendido al judiito y eso no puede ser, claro, porque ellos don seres de luz. Al que aporte pruebas científicas de que el holocuento fue una farsa... A la cárcel. Al que denuncie los crímenes sionistas en el mundo... A la cárcel por antisemita. Claro que sí, Guapi"
180,181,181,Argentina,30,Marzo,2022,La Nación,"Como médica iba a irse a Canadá, pero eligió Israel y apeló a una típica actitud argentina para ser ","Estoy de acuerdo con la ultima movida; la de irse a Canada. Y me permito compartir una experiencia personal; espere y soñe 52 años en conocer Israel, cuando finalmente lo pude hacer fue la desilucion mas grande que tuve. La gran mayoria de la gente en Israel es maltratadora, gritona y no tiene mucha roce o la educacion y/o modales a los que estamos acostumbrados. No me senti comodo en""mi tierra"" realmente. Creo que tendria que volver por la revancha."
196,197,197,Chile,1,Noviembre,2022,Biobio,"
Senadores de viaje en Israel, tras impasse: ""Preocupación es evidente, que Chile mantenga amistad""
","Qué fueron a hueviar estos carajos sinvergüenzas, viajando en primera clase y hospedándose en hoteles 5 estrellas con dinero de los contribuyentes. Jamás van a entender estos miserables.  Por eso y muchas cosas más es que la clase política en Chile es tan detestada."
101,102,102,Chile,14,Mayo,2021,Biobio,"
    Roger Waters y conflicto palestino-israelí: ""Están asesinando a los reclusos de una prisión abi","Que gran artista Roger con opinión, consecuencia y militancia."
65,66,66,Uruguay,1,Septiembre,2022,Subrayado,Asumió el nuevo directorio de la Institución Nacional de Derechos Humanos,Qué negocio éste.Un ñoqui que ahora pasó a comer con aceite
328,329,2182,Colombia,2,Junio,2021,Dos Orillas,El joven Nazi que terminó armando el imperio de los supermercados Cencosud/Jumbo,"Me encanta Yumbo, Metro, Easy!"
201,202,202,Chile,4,Julio,2022,Emol,"Peritaje de EE.UU. arroja que disparo israelí ""probablemente"" abatió a periodista de A"," Los israelitas, el pueblo escogido por el Mandamas, no abatieron a la periodista, la asesinaron. Digamos las cosas como son."
80,81,81,Uruguay,15,Julio,2022,Montevideo,Opinión | Luces y sombras de la visita de Joe Biden a Oriente Medio,Con o sin la anuencia yanki sionista IRÁN tendrá su arma atómica.Los terroristas del mundo NO tienen autoridad moral para imponer normas a nadie.
224,225,233,Chile,10,Enero,2022,Biobio,"
    Israel: Bennett asegura ""mantendrá su libertad de acción"" ante eventual acuerdo nuclear con Irá","Es facil aniquilar y cometer holocausto y genocidio con el pobre pueblo Palestino, Veamos como le va a israhell con Iran..."
225,226,235,Chile,7,Septiembre,2023,Biobio,"
Presidente de Palestina afirmó que Hitler masacró a los judíos por su ""usura"" y no por ""antisemitis",Les dolió la verdad....
266,267,351,Colombia,1,Julio,2024,Dos Orillas,"Petro, el ‘Führer’ de Ciénaga de Oro",Estoy totalmente de acuerdo con lo expuesto en este artículo.
159,160,160,Uruguay,3,Junio,2022,Montevideo,Opinión | Se cumplen 55 años de la guerra en la que Israel no se dejó destruir,Todos los años un nuevo día que los judíos hacen genocidios en medio oriente
303,304,465,Panamá,3,Enero,2023,La Estrella,El ministro israelí Ben Gvir visita la Explanada de las Mezquitas pese a las amenazas de Hamás,Los marranos buscando bulla!
300,301,453,Colombia,28,Octubre,2023,El Tiempo,DestrucciÃ³n en la Franja de Gaza.,"Los israelíes son los nazis de esta época, son unos genocidas que pretenden acabar con el pueblo palestino"
104,105,105,Panamá,28,Octubre,2023,La Estrella,"EE.UU. e Israel, ¿una relación tan inquebrantable como parece?",EEUU no tiene aliados sino intereses.Para Biden esto es solo una oportunidad de congraciarse y ver si levanta más que polvo en sus aspiraciones políticas de 2024.
310,311,781,Argentina,23,Agosto,2023,La Nación,“Era el más violento”: un testigo complicó al ladrón disfrazado de judío ortodoxo juzgado por el hom,Rifle sanitario
281,282,408,Argentina,18,Mayo,2021,La Nación,Fuerte respuesta de la Organización Sionista Argentina a Felipe Solá por los dichos sobre Israel,estos son amigos de Rotschild y Soros?
284,285,413,Uruguay,3,Junio,2022,Montevideo,Opinión | Se cumplen 55 años de la guerra en la que Israel no se dejó destruir,"Me tiene harta esta mujer""periodista"" opinologa parcial, no soy antisemita, ni mucho menos ( uno de mis mejores amigos era judío, lamentablemente falleció muy joven, hace 40 años ,y todavía lo recuerdo con mucho cariño, era una hermosa persona) pero tampoco soy antipalestina!Señores de Montevideo Portal, podrían por favor dejar de hacer estar publicaciones de esta mujer? Ya ven el poco apoyo que tiene, seguramente solo de algunos de su comunidad, este tipo de artículos exacerba los sentimientos de aquellos que defendemos la igualdad de toda raza, etnia, nacionalidad , credo o religión. .. No nos importa y más aún nos molesta esta publicación unilateral que no sabemos bien qué fin persigue, porque vuestros lectores somos personas equilibradas, bien informadas y pro libertad en todo sentido ,por eso no nos gustan las campanas que suenan sólo de un lado... Esta publicación es sólo una forma de querer generar conflictos , creyendo que somos unos ignorantes en temas políticos y de relig"
68,69,69,Argentina,29,Marzo,2024,Clarín,Guerra en Gaza: Netanyahu autoriza una nueva ronda de conversaciones para negociar un alto el fuego,"NUNCA HABRA PAZ EN ESA REGION
ES UNA GUERRA RELIGIOSA
EL CORAN , LA BIBLIA Y LA TORA ESTAN INTERPRETADAS POR FANATICOS RELIGIOSOS RADICALES , COMO LA JUSTIFICACION DEL EXTERMINIO AL OTRO
EL LIKUD , EL ISIS , EL HEZBOLLAH , EL OPUS DEI ,EL PAPADODE LAS CRUZADAS ...
TODAS ORGANIZACIONES FANATICAS Y ASESINAS
IMPOSIBLE LOGRAR LA PAZ"
61,62,62,Uruguay,27,Marzo,2021,El País,Pésaj: cómo se celebra la fiesta judía de la liberación,"Hoy es cuando estos retrógrados peligrosos fanáticos religiosos van a darse cabezazos contra el muro de las lamentaciones???? Un show digno de ver. Una mezcla a partes iguales de asco, estupidez, supersticiones, sinsentido alguno e ignorancia."
308,309,564,Chile,17,Marzo,2024,Biobio,"
Presidenta de Honduras pidió un alto al fuego en Gaza y el reconocimiento del estado palestino
",Alguien pesca a los insignificantes países centroamericanos….?
16,17,17,Uruguay,22,Febrero,2021,Subrayado,"Israel crea ""pase digital"" de vacunados para ir a gimnasios, teatros y hoteles",Esto es gravísimo. Nuevo Orden Mundial en su máxima expresión.
237,238,264,Argentina,20,Mayo,2021,La Nación,El cruce de Marcos Galperin con un empresario uruguayo por el conflicto entre Israel y Hamas,"Sr. Galperin, Ud. defenderá a su pueblo como buen judío, pero muchos condenamos la violencia como forma de acción,  Tiene problemas en Argentina, tiene problemas en Uruguay, tal vez le sugiero piense en mudarse a Israel.? "
352,353,3770,Chile,27,Febrero,2024,Emol,"Joe Biden prevé acuerdo de tregua entre Israel y Hamás la próxima semana: ""Esta", Y qué pasó con la colecta de pañales para Biden.
341,342,3157,Colombia,3,Febrero,2024,Dos Orillas,El presidente de Portugal pide revisión constitucional para conceder nacionalidad a sefarditas,Este pendejo y desocupado no tendrá otro tema de que hablar?
150,151,151,Chile,10,Abril,2023,Biobio,"
Muere un adolescente palestino por fuego israelí en campo de refugiados en Cisjordania ocupada
","¿Cuántas muertos en el mundo ayer por conflictos, asesinados, penales de muerte...o abortos? Pero muere UN palestino y es un titular en las noticias en Chile. Propaganda izquierdista anti-semítica y anti-capitalista."
210,211,211,Argentina,17,Mayo,2021,La Nación,"Jerusalén, al límite: nuevos choques entre la policía y palestinos en un lugar sagrado elevan la ten",Palestina libre. Israel sigue ocupando territorios de forma ilegal. Rompe todos y cada uno de los tratados. 
129,130,130,Uruguay,18,Mayo,2021,Montevideo,Opinión | Cosas que hay que saber antes de juzgar a Israel,Según la señora que escribe los judios son unos santos o una carmelitas descalzas. Es una falta de respeto a la inteligencia este artículo. Israel es complice de hamas como lo fue del estado islamico al cual condeno muy poco.
330,331,2224,Argentina,18,Mayo,2021,La Nación,Tensión en Medio Oriente: Hamas ataca con más de 130 misiles a Tel Aviv,"recordemos que Hamas fue ""democráticamente"" elegido como la autoridad política de Gaza....los pueblos tienen los gobiernos que se merecen."
83,84,84,Chile,20,Mayo,2021,Emol,Gobierno de Israel y Hamás aceptan un alto al fuego en Gaza tras 11 días de ataques," Aquí en casa, tenemos descendientes JUDÍOS, camuflados como inocentes ovejas, pero todos ya conocemos a su mentalidad de MEZQUINDAD y OBSESIÓN por el dinero."
172,173,173,Chile,26,Mayo,2024,Emol,Israel lanza bombardeo contra campamento para desplazados en Rafah: Hamas cifra en 35 los muertos, Netanyahu es el anticristo
25,26,26,Uruguay,24,Marzo,2023,Montevideo,La ONU acusa a ucranianos y rusos de “ejecuciones sumarias” de prisioneros de guerra,"Los israelitas lo viven haciendo ,hace poco colonos judíos , arrasaron una aldea palestina y asesinaron a una anciana, no vi ni a la ONU, ni a Europa condenar eso, asesinaron una periodista cristiana y no vi el repudio de colegas de otras parte del mundo."
205,206,206,Uruguay,14,Abril,2024,Subrayado,Ataque en Medio Oriente: Uruguay lamenta el agravamiento del conflicto y dice que es una peligrosa e,Comunicado porque? No pasó nada! Lo de Irán es un chiste. Ni un solo dron hizo daño en suelo. No hay nada que lamentar. Sin embargo los palestinos si: más de 40 mil personas fallecieron por los ataques de Israel.
37,38,38,Argentina,15,Febrero,2021,Clarín,Murió Carlos Menem: polémica por un tuit de Jorge Yoma contra la DAIA,"El comentario de la Daia fue absolutamente injusto, desubicado e hiriente para el pueblo Argentino."
269,270,357,Argentina,15,Junio,2023,Clarín,Amenazó con un atentado antisemita y fue detenido en Florencio Varela: tenía una remera que decía &q,QUEEEEEEE RAPIDOOOO ACTUAAA LA JUSTICIAAA SIEMPREEE PARAAA LOS JUDIOSSSSSSSSS
213,214,214,Colombia,27,Abril,2021,El Tiempo,Las obras del muralista britÃ¡nico se presentarÃ¡n en un hotel en BelÃ©n con vista al muro construid,Entonces Hitler  tenìa razòn.
